configuration,checkpoint,sparsity,accuracy,avg_jacobian_norm,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar0.00.pth,0.0,74.37,50.35356015625,4.408090789165853,1.943161893411449,1.9349481793707415,1.828897387511828,1.8576631091796398,1.7700703591214693,1.7759325226628793,2.6169821868314127,1.9148170843197108,1.894266379578745,1.8888526291205647,2.01435390796234,1.9863833808650433,2.818095631983498,2.4329529347628567,2.7966152439641427,3.3399242974311254,3.0887230155735486,4.622925304729863
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar27.23.pth,27.23051521128444,74.14,29.442409375,6.594955349760872,1.9311175344761116,2.133463946651782,2.0618886411747077,1.9675117543218872,1.8651151562623507,1.958167446119455,2.5804198061816166,2.150328323423381,1.9936454660228522,2.0252743566175506,2.0448541018932733,1.9287924502273837,2.910458592864536,2.319839375161838,2.315757039281619,2.4767873212007254,2.4437320726402714,2.9166833421011047
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar47.06.pth,47.05748311517542,74.4,40.3684890625,5.529770981300156,2.0475652830538715,1.9118108243973406,1.9797248355884003,1.8453744461267734,1.9207840331085513,1.8601713915132245,2.68962047393593,1.9024567865232849,1.8908042953042103,1.9791938961859996,2.0964899973535247,1.9871718169171269,2.82308449888224,2.241177861809316,2.1569329008639944,2.4536705426633993,2.440736438521118,3.225653332034733
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar61.34.pth,61.335245950630565,72.87,38.7850296875,5.823544704877777,2.119111325891124,1.776763791252578,1.8738378158015985,1.7605596365992564,1.898455928442558,2.0950757328900993,2.7078374372005767,2.0551353202077896,2.0482220683190273,1.926419070269548,1.946912577918426,1.9609875913051744,2.7293378281449243,2.128066793725915,2.070231873457312,2.251018589211728,2.249339334993631,2.901335187235459
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar71.89.pth,71.88788775327237,71.7,40.9319,7.107576052702527,1.9609655311186138,1.9883095496257388,1.8778579929661956,1.863928000265257,1.8725334815260917,1.9302897846374172,2.8015309232362644,2.0781854741519528,1.8679819874250208,1.905906891828245,1.951247514970892,2.200252988506353,2.7902932098278503,1.9970735922168414,2.1027870573243654,2.1318768361795217,2.133698135969275,2.765623475857584
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar79.55.pth,79.54993724224494,69.29,48.33997421875,10.253724199401356,1.8910747076655614,1.9934860555274418,1.8941223129968634,1.9524852038746978,1.936329896655868,2.089814303816971,2.6935144974208036,2.1707132141230154,2.173225048518194,1.9394123558082557,1.975768996266315,2.09312835882958,2.8031855547764377,1.9971767460478953,2.0634701886456357,2.043499649356701,2.151630283209889,2.5997497703041397
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar85.07.pth,85.07187257187258,69.09,39.094790625,6.440234079529809,1.9961367889380484,2.161730879421258,1.9674133346050406,2.0890375911028567,1.9421390293737564,2.5286379656054856,2.695959585261753,1.9588263239847834,2.2570716895139427,2.0786998256026115,2.006789388210203,2.1912968401391146,2.7672120398961724,2.054632336206591,2.048712777819858,2.1282189678679986,2.065314560324126,2.385953454639723
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar89.13.pth,89.13356942203096,69.05,54.73691328125,7.116811489411496,2.2231040983394883,2.268094912013759,2.1386721552351178,2.4534834933595286,2.1751908868590957,2.224300695199805,2.9552354690598372,1.9926485403144736,2.2730626285478883,2.1717748083945265,2.1117476994284337,2.285988974661165,2.7521084056522502,2.145527078212274,2.0129346602345635,2.113566330664924,2.266827812251163,2.4017021810445844
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/1/checkpoint_spar92.08.pth,92.0809425617118,67.76,53.73321875,15.45566735453877,2.3429643533881928,3.401724671383508,2.2281445282513466,2.4753390283144983,2.5557261070674477,2.0209423424008084,2.702222699783783,2.152943819520458,2.533204468590121,2.0881554938893427,2.153275239794147,2.155323472781376,3.1658198113503953,2.134978136361408,2.168507334849429,2.185449776897429,2.122222959693364,2.456944185614566
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/2/checkpoint_spar0.00.pth,0.0,72.61,26.255069140625,4.306603571295496,1.9067248072316154,2.033211421424988,1.716242934040604,1.911472637028958,1.7631220475927643,1.8455409984467142,2.542187193440123,2.0720796620067055,2.002052352431411,2.0142491970805345,2.067740112787854,2.0077765612736944,2.98061624731122,2.3994707110366016,2.5074345533661684,2.7329314173409225,2.563829074382333,3.067886925352947
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/2/checkpoint_spar27.39.pth,27.385168250552866,77.13,44.96565859375,5.1113852648009805,1.859939966923207,2.142596919858684,1.832953655197455,1.9192465824427414,1.8476716921455647,1.782089364135079,2.803393454736383,1.9426545692953696,2.0876126859640336,1.9689904216457623,2.0159050190452907,1.9169604874087283,2.8694796385201826,2.2497673805682243,2.2916933819854006,2.8333583500864297,2.700056674974228,4.03685019720159
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/2/checkpoint_spar47.12.pth,47.11575817345049,73.08,30.860121484375,4.143128690752083,1.712991797430571,1.8226712441998185,1.8114522790471763,1.9334642266176407,1.820546167355285,1.8709906854136362,2.7813076958967207,1.9463453728409825,2.0691029563907746,2.02714795697235,2.110299032466765,2.0269662051382347,2.7526040939482046,2.193601293986576,2.1611178198627963,2.4411759478700694,2.3019879195928734,3.101106266036651
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/2/checkpoint_spar61.56.pth,61.55676588368896,74.5,39.68346171875,6.605331726399157,1.862564799278085,1.964868919110607,1.988350144984823,1.747167186535137,2.013943676896268,1.7447557425297737,2.5962618836726965,1.8430717450409657,1.9859663545518278,2.012684248164682,1.981306336215475,1.9368017489502027,2.751252406454355,2.1156806076653822,2.124793893779527,2.2983524392143644,2.276884656781361,3.0912615246270048
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/2/checkpoint_spar71.99.pth,71.99098977945133,72.73,31.96185078125,5.9145777526343615,1.9641791789180583,2.0612381085727995,1.8087995603419396,1.8900015959920085,2.04081322872295,1.8886319142000856,2.6765265683908614,1.8892227353372406,1.851078728650316,2.00800515820269,2.0601722218594674,2.0435549418179226,2.751824689406572,2.0575463936802634,2.029624562324032,2.2163434145952783,2.1209542622097417,2.7220780462478578
smooth_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_rewind/2/checkpoint_spar79.58.pth,79.58056900364593,70.55,46.6505328125,5.568618237626609,1.8982541932388137,1.9492399857137896,1.9616142674037005,1.8825875049409688,2.0364328118683552,2.015504861768663,2.7846773727503686,1.8703375539175207,1.9666929155775763,1.992525237959863,1.9703279640394313,1.9757083707909058,2.623168174934212,2.0463998028179162,2.068107042882643,2.177338185184548,2.293946399284646,2.5720219255242847
