configuration,num_runs,epochs_to_target_mean,epochs_to_target_std,iterations_to_target_mean,iterations_to_target_std,avg_training_length_mean,avg_training_length_std,avg_regularization_length_mean,avg_regularization_length_std,sparsity_reached_mean,sparsity_reached_std,test_accuracy_mean,test_accuracy_std
smooth_rewind,5,661.8,3.2710854467592254,8.0,0.0,18.8,0.37080992435478316,61.875,0.25,92.1037296037296,0.060571723324098915,67.194,1.427385722220872
smooth_no_rewind,5,884.8,16.00624877977348,8.0,0.0,46.45,2.066473445268533,61.95,0.3601215072721983,92.09670671209133,0.07177731356939983,67.316,3.9338568860597865
static_rewind,5,449.6,6.188699378706321,8.0,0.0,19.175,0.5046657309546587,34.75,0.385275875185561,92.20832586217202,0.03913901043287106,66.10799999999999,0.8958627126965414
static_no_rewind,5,671.2,6.906518659932803,8.0,0.0,47.525,0.7147989227747898,34.25,0.29315098498896436,92.14452214452214,0.04373533857169465,69.73400000000001,2.2040939181441415
