checkpoint_path,run_dir,checkpoint_index,phase,sparsity,test_accuracy,fab_accuracy,fab_norm,brightness,contrast,defocus_blur,elastic_transform,fog,frost,gaussian_blur,gaussian_noise,glass_blur,impulse_noise,jpeg_compression,motion_blur,pixelate,saturate,shot_noise,snow,spatter,speckle_noise,zoom_blur
models/run_03/checkpoint_09_sparsity_95.73.pth,run_03,9,prune_recover,95.72911063295678,61.66,0.0,0.06776184678077697,43.37,67.626,45.786,46.284000000000006,57.339999999999996,51.696000000000005,48.404,63.334,48.938,52.312,41.038,48.784,41.318,48.856,57.524,48.577999999999996,42.494,56.4,49.562
models/run_04/checkpoint_00_sparsity_0.00.pth,run_04,0,warmup,0.0,76.77,0.0,0.14006064987182618,26.572000000000003,51.9,35.906,36.354,35.632,37.483999999999995,40.724000000000004,47.074,50.438,51.234,28.491999999999997,47.326,32.422000000000004,27.332000000000004,40.544,36.492000000000004,31.53,40.204,42.844
models/run_04/checkpoint_01_sparsity_22.02.pth,run_04,1,prune_recover,22.019380192457117,76.06,0.0,0.09945605134963989,26.370000000000005,53.524,38.284000000000006,37.190000000000005,39.338,41.242000000000004,44.94199999999999,55.362,53.862,49.412,30.028,49.134,37.37,29.016,47.284,39.786,33.33,46.024,44.354
models/run_04/checkpoint_02_sparsity_37.72.pth,run_04,2,prune_recover,37.71666367820214,76.67,0.0,0.094059983253479,27.139999999999997,53.758,39.982,39.778,39.07,42.472,47.11,57.64,57.352,45.946000000000005,31.062,51.188,39.577999999999996,30.772,49.269999999999996,42.292,32.512,47.182,47.910000000000004
models/run_04/checkpoint_03_sparsity_50.88.pth,run_04,3,prune_recover,50.877114338652795,74.82,0.0,0.0810911750793457,28.613999999999997,52.470000000000006,39.512,38.902,41.056,44.760000000000005,45.501999999999995,61.806,54.714,46.378,33.296,47.971999999999994,40.572,30.778,52.884,44.402,33.678,49.768,46.784000000000006
models/run_04/checkpoint_04_sparsity_62.68.pth,run_04,4,prune_recover,62.675945849022774,75.47,0.0,0.07985035037994384,28.562,52.196000000000005,36.368,35.816,38.506,44.368,43.476,65.22200000000001,58.852,47.682,32.093999999999994,46.068,40.641999999999996,30.758,56.162,45.83,33.763999999999996,53.431999999999995,42.844
models/run_04/checkpoint_05_sparsity_70.53.pth,run_04,5,prune_recover,70.53112485804793,73.2,0.0,0.08221587181091308,30.103999999999996,55.05800000000001,39.418,38.727999999999994,41.160000000000004,47.263999999999996,45.142,64.776,59.472,47.534000000000006,33.294000000000004,48.464,42.977999999999994,34.092,55.972,46.504000000000005,35.542,52.874,45.802
models/run_04/checkpoint_06_sparsity_76.62.pth,run_04,6,prune_recover,76.6201213316598,71.83,0.0,0.07325959658622741,31.009999999999998,55.712,41.714,40.772000000000006,46.618,47.092,47.504000000000005,69.998,57.612,52.86800000000001,35.164,49.898,42.018,36.988,61.903999999999996,47.872,37.152,59.257999999999996,47.63
models/run_04/checkpoint_07_sparsity_82.32.pth,run_04,7,prune_recover,82.31949674257366,72.27,0.0,0.06945440864562988,31.45,57.444,38.396,38.004,42.88,47.826,44.092,66.844,55.664,52.720000000000006,35.83,47.726,47.454,36.048,59.222,47.61,37.406,57.004,44.442
models/run_04/checkpoint_08_sparsity_88.59.pth,run_04,8,prune_recover,88.58705397166936,68.04,0.0,0.0663648145198822,34.25,57.044,43.646,42.644,45.834,48.61,49.708000000000006,75.864,60.234,54.528,35.95399999999999,56.036,44.339999999999996,41.468,68.564,49.192,40.424,66.166,50.782
models/run_04/checkpoint_09_sparsity_94.33.pth,run_04,9,prune_recover,94.33424481501405,66.57,0.2,0.06207640957832337,37.4,59.134,43.724000000000004,42.339999999999996,48.6,55.18000000000001,49.684000000000005,74.348,59.812,52.629999999999995,39.13,53.41799999999999,52.908,42.44199999999999,67.44,51.470000000000006,41.458000000000006,64.216,49.188
models/run_04/checkpoint_10_sparsity_95.70.pth,run_04,10,prune_recover,95.70296156834618,65.14,0.1,0.06043814706802368,39.144,62.188,48.538,47.052,50.91,56.472,54.61800000000001,78.862,64.45,52.306,39.854,60.052,48.64,44.768,72.648,55.008,42.744,70.414,55.722
models/run_05/checkpoint_00_sparsity_0.00.pth,run_05,0,warmup,0.0,75.19,0.0,0.11865265655517578,27.915999999999997,46.556,35.418,36.232,36.52,36.098,39.071999999999996,42.824,43.818,46.616,28.977999999999998,42.812,29.204,29.214,38.21,36.596,31.830000000000002,38.260000000000005,40.17
models/run_05/checkpoint_01_sparsity_21.89.pth,run_05,1,prune_recover,21.892744008128624,75.79,0.0,0.12550096035003663,27.066000000000003,56.327999999999996,38.727999999999994,37.356,40.72,40.004000000000005,45.29600000000001,49.812,51.40599999999999,47.403999999999996,30.76,49.894,36.342,28.939999999999998,44.666,42.288,33.636,44.190000000000005,44.428
models/run_05/checkpoint_02_sparsity_36.81.pth,run_05,2,prune_recover,36.80929113621421,75.39,0.0,0.10431049871444702,27.679999999999996,54.715999999999994,35.013999999999996,36.092,39.736000000000004,41.263999999999996,39.628,54.342,52.374,46.972,30.607999999999997,42.962,37.188,30.986,48.6,42.634,33.384,47.898,39.876
models/run_05/checkpoint_03_sparsity_44.71.pth,run_05,3,prune_recover,44.710417787340866,75.9,0.0,0.10123230743408203,27.371999999999996,54.94,36.176,35.842,39.964,39.260000000000005,41.942,59.702,53.239999999999995,49.882,28.752,47.394,33.234,30.254,52.584,39.018,33.454,51.727999999999994,42.760000000000005
models/run_05/checkpoint_04_sparsity_56.37.pth,run_05,4,prune_recover,56.36991213914291,73.48,0.0,0.085690922498703,29.633999999999997,53.089999999999996,37.440000000000005,37.297999999999995,39.260000000000005,40.138,43.088,63.114,51.072,48.958,30.646000000000004,44.65,35.816,32.894,56.18399999999999,41.394,35.128,54.908,41.696000000000005
models/run_05/checkpoint_05_sparsity_61.63.pth,run_05,5,prune_recover,61.62998326459865,75.55,0.0,0.09337635660171509,28.098000000000003,54.788,35.538,36.35,41.158,44.636,40.54600000000001,60.842,51.306,48.35,29.824,45.33,34.932,31.698,54.108000000000004,43.044,34.158,53.516,41.992
models/run_05/checkpoint_06_sparsity_69.66.pth,run_05,6,prune_recover,69.66297591297591,72.1,0.0,0.07221139526367187,31.222,57.05,38.082,38.438,44.0,47.356,43.434,65.136,55.472,48.552,33.38,47.422000000000004,37.492,34.734,58.632000000000005,45.480000000000004,36.956,56.775999999999996,43.498000000000005
models/run_05/checkpoint_07_sparsity_75.68.pth,run_05,7,prune_recover,75.67501942501943,72.76,0.0,0.0749626202583313,31.232,56.938,36.922,38.029999999999994,43.077999999999996,43.602,42.034,61.718,51.06,48.124,31.738,47.938,38.424,33.696,54.846000000000004,41.904,35.272000000000006,53.702,42.874
models/run_05/checkpoint_08_sparsity_80.71.pth,run_05,8,prune_recover,80.70535233996773,71.62,0.0,0.06795447897911072,31.160000000000004,56.66799999999999,39.221999999999994,38.888,44.592,44.486000000000004,45.088,59.15,49.988,51.620000000000005,33.056,49.694,41.356,35.664,52.924,42.644,35.494,52.052,45.762
models/run_05/checkpoint_09_sparsity_87.28.pth,run_05,9,prune_recover,87.27848006694161,66.17,0.0,0.05836996412277222,37.822,60.66799999999999,43.162,43.288,50.806,53.302,47.4,66.264,54.95399999999999,54.246,37.962,51.79600000000001,41.396,40.85,60.581999999999994,48.612,39.91,59.072,47.632
models/run_05/checkpoint_10_sparsity_92.52.pth,run_05,10,prune_recover,92.52360886976273,65.76,0.0,0.061190274715423584,38.358,63.274,42.642,42.038,50.374,50.456,46.414,66.274,52.948,55.172000000000004,38.396,49.762,41.763999999999996,43.263999999999996,60.88199999999999,48.166000000000004,40.484,59.544000000000004,46.254
models/run_05/checkpoint_11_sparsity_95.30.pth,run_05,11,prune_recover,95.30176020560636,62.44,0.0,0.055121012449264525,43.266,65.772,44.136,44.596,54.75599999999999,57.29600000000001,46.872,66.93199999999999,51.40599999999999,58.391999999999996,41.922000000000004,50.7,43.82,46.094,62.025999999999996,50.034000000000006,41.956,60.534000000000006,46.832
